"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Dumb and Dumber","Peter Farrelly, Bobby Farrelly","Jim Carrey, Jeff Daniels, Lauren Holly","Comedy","first Farrelly brothers film"
"Ed Wood","Tim Burton","Johnny Depp, Martin Landau, Bill Murray, Jeffrey Jones, Sarah Jessica Parker, Patricia Arquette","Comedy, Biography","Academy Award for Landau"
"Emmanuelle in Space","","Krista Allen","Science fiction",""
"Even Cowgirls Get the Blues","Gus Van Sant","Uma Thurman, Lorraine Bracco, Angie Dickinson, Pat Morita, Keanu Reeves, John Hurt, Rain Phoenix, Roseanne Barr, Ed Begley, Jr.","Drama, Comedy","based on the novel by Tom Robbins"
"Exit to Eden","Garry Marshall","Dana Delany, Paul Mercurio, Rosie O'Donnell, Dan Aykroyd, Iman, Stuart Wilson, Héctor Elizondo","Drama, Comedy","based on Anne Rampling novel; Razzie for O'Donnell"
"F.T.W.","Michel Karbelnikoff","Mickey Rourke, Lori Singer","Drama",""
"The Fantastic Four","Oley Sassone","","","Unreleased"
"Fast Getaway II","Oley Sassone","Corey Haim, Cynthia Rothrock, Leo Rossi","Action","direct-to-TV"
"The Favor","Daniel Petrie","Harley Jane Kozak, Elizabeth McGovern, Ken Wahl, Brad Pitt, Bill Pullman","Comedy",""
"Fear of a Black Hat","Rusty Cundieff","Kasi Lemmons","Drama",""
"The Flintstones","Brian Levant","John Goodman, Rick Moranis, Rosie O'Donnell, Elizabeth Perkins, Kyle MacLachlan, Halle Berry, Elizabeth Taylor","Comedy","based on the TV series"
"The Foot Shooting Party","","Leonardo DiCaprio","Short subject","Experimental"
“Four Weddings and a Funeral”,””,””,””,””
"The Force","Mark Rosman","Yasmine Bleeth, Jason Gedrick","Drama",""
"Forrest Gump","Robert Zemeckis","Tom Hanks, Robin Wright Penn, Gary Sinise, Sally Field, Mykelti Williamson, Haley Joel Osment","Drama","based on novel by Winston Groom; 6 Oscars, 13 nominations"
"Frank & Jesse","Robert Boris","Rob Lowe, Bill Paxton","Western, Biography","story of Jesse James"
"Fresh","Boaz Yakin","Sean Nelson, Samuel L. Jackson","Drama",""
"Gang War: Bangin' In Little Rock","Marc Levin","","Documentary","HBO"
"Gary Larson's Tales from the Far Side","","","",""
"The Getaway","Roger Donaldson","Alec Baldwin, Kim Basinger, James Woods, Michael Madsen, Jennifer Tilly, Richard Farnsworth, Philip Seymour Hoffman","Action","Remake of 1972 film; based on Jim Thompson novel"
"Getting Even with Dad","Howard Deutch","Macaulay Culkin, Ted Danson, Glenne Headly","Comedy",""
"The Gift","Laura Dern","Bonnie Bedelia, Diane Ladd","Drama","30-minute TV film"
"The Girlie Show - Live Down Under","","","",""
"Go Fish","Rose Troche","Guinevere Turner","Drama",""
"God Wants Me To Forgive Them!?!","Phil Vischer","Phil Vischer, Mike Nawrocki","Animation",""
"Golden Gate","John Madden","Matt Dillon, Joan Chen","Drama",""
"Greedy","Jonathan Lynn","Michael J. Fox, Kirk Douglas, Nancy Travis, Phil Hartman, Ed Begley, Jr., Bob Balaban, Colleen Camp, Olivia d'Abo","Comedy",""
"Guarding Tess","Hugh Wilson","Shirley MacLaine, Nicolas Cage, Austin Pendleton, Edward Albert","Comedy",""
"Guinevere","Jud Taylor","Sheryl Lee, Noah Wyle","Drama","TV"
"Gunmen","Deran Sarafian","Christopher Lambert, Mario Van Peebles, Denis Leary","Action comedy",""
"Hail Caesar","Anthony Michael Hall","Robert Downey, Jr., Anthony Michael Hall","Comedy",""
"Hated: GG Allin and the Murder Junkies","","","",""
"The Hidden II","Seth Pinsker","Kate Hodge","Science fiction","sequel to The Hidden"
"Highlander III: The Sorcerer","Andrew Morahan","Christopher Lambert, Mario van Peebles","Science fiction","2nd sequel to Highlander"
"Holy Matrimony","Leonard Nimoy","Patricia Arquette, Joseph Gordon-Levitt, Tate Donovan, Armin Mueller-Stahl","Comedy",""
"Honey, I Shrunk the Audience","","","","Disneyland attraction"
"Hoop Dreams","Steve James","","Documentary, Sports","Sundance award winner"
"House Party 3","Eric Meza","Kid 'n Play, Bernie Mac","Comedy","2nd sequel to House Party"
"How the West Was Fun","Stuart Margolin","Mary-Kate Olsen, Ashley Olsen","Comedy","TV"
"The Hudsucker Proxy","Joel Coen","Tim Robbins, Jennifer Jason Leigh, Paul Newman","Comedy",""
"I Don't Hate Las Vegas Anymore","Caveh Zahadi","","Documentary",""
"I Like It Like That","Darnell Martin","Jon Seda, Lauren Velez, Rita Moreno","Comedy",""
"I Love Trouble","Charles Shyer","Julia Roberts, Nick Nolte","Comedy",""
"I'll Do Anything","James L. Brooks","Nick Nolte, Joely Richardson, Albert Brooks, Tracey Ullman, Julie Kavner, Whittni Wright","Comedy, Drama",""
"I.Q.","Fred Schepisi","Tim Robbins, Meg Ryan, Walter Matthau","Romantic comedy",""
"Imaginary Crimes","Anthony Drazan","Harvey Keitel","Drama",""
"Immortal Beloved","Bernard Rose","Gary Oldman, Isabella Rossellini","Biography","story of Beethoven"
"In Search of Dr. Seuss","Vincent Paterson","Kathy Najimy, Christopher Lloyd","Family",""
"In the Army Now","Daniel Petrie, Jr.","Pauly Shore, Andy Dick, Lori Petty","Comedy",""
"The Inkwell","Matty Rich","Larenz Tate, Joe Morton, Jada Pinkett Smith","Romantic comedy",""
"Intersection","Mark Rydell","Richard Gere, Sharon Stone, Lolita Davidovich, Martin Landau","Drama",""
"Interview with the Vampire: The Vampire Chronicles","Neil Jordan","Tom Cruise, Brad Pitt, Kirsten Dunst, Christian Slater, Stephen Rea, Antonio Banderas, Thandie Newton","Horror","Based on novel by Anne Rice"
"Iron Will","Charles Haid","Mackenzie Astin, Kevin Spacey","Family",""
"Is There Life Out There?","","Reba McEntire, Keith Carradine","Drama","TV"
"It Could Happen to You","Andrew Bergman","Nicolas Cage, Bridget Fonda, Rosie Perez","Romance",""
"It Don't Cost Nothin' to Say Good Morning","","","",""
"It's Pat","Adam Bernstein","Julia Sweeney, Dave Foley","Comedy","based on Saturday Night Live character; 5 Razzie nominations"
"Jacob","Peter Hall","","Drama",""
"Jason's Lyric","Doug McHenry","Jada Pinkett Smith, Allen Payne","Drama, Romance",""
"Jimmy Hollywood","Barry Levinson","Joe Pesci, Christian Slater","Drama, Comedy",""
"Junior","Ivan Reitman","Arnold Schwarzenegger, Danny DeVito, Emma Thompson","Comedy",""
"Kickboxer 4","","Sasha Mitchell","",""
"Kill the Moonlight","Steve Hanft","Thomas Hendrix, Ross Harris","Drama",""
"Killing Zoe","Roger Avary","Eric Stoltz, Julie Delpy","Thriller",""
"Knight Rider 2010","Sam Pillsbury","Richard Joseph Paul","Action","TV"
"The Land Before Time II: The Great Valley Adventure","Roy Allen Smith","John Ingle, Scott McAfee","Animated","Direct-to-video"
"Lassie","Daniel Petrie","Tom Guiry, Helen Slater, Richard Farnsworth","Family",""
"The Last Seduction","John Dahl","Linda Fiorentino, Bill Pullman, Peter Berg","Drama",""
"Legends of the Fall","Edward Zwick","Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond, Henry Thomas","Drama","based on Jim Harrison novel"
"Leprechaun 2","","Warwick Davis","Horror","sequel"
"Life with Billy","Paul Donovan","Stephen McHattie","Drama","TV"
"The Lion King","Rob Minkoff","(voices) Jonathan Taylor Thomas, Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg, Moira Kelly, Nathan Lane","Animated","2 Academy Awards; Golden Globe Best Picture Musical or Comedy"
"Little Big League","Andrew Scheinman","Luke Edwards, Timothy Busfield, Dennis Farina","Comedy",""
"Little Buddha","Bernardo Bertolucci","Keanu Reeves, Bridget Fonda, Chris Isaak","Drama",""
"Little Giants","Duwayne Dunham","Rick Moranis, Ed O'Neill","Comedy",""
"Little Odessa","James Gray","Tim Roth, Edward Furlong, Moira Kelly, Vanessa Redgrave, Maximilian Schell","Crime drama",""
"The Little Rascals","Penelope Spheeris","Bug Hall, Travis Tedford, Reba McEntire, Whoopi Goldberg, Mel Brooks","Comedy","based on characters from Our Gang by Hal Roach"
"Little Women","Gillian Armstrong","Winona Ryder, Claire Danes, Trini Alvarado, Kirsten Dunst, Susan Sarandon, Christian Bale, Gabriel Byrne, Samantha Mathis, Eric Stoltz","Drama","based on novel by Louisa May Alcott"
"Love Affair","Glenn Gordon Caron","Warren Beatty, Annette Bening, Garry Shandling, Katharine Hepburn, Pierce Brosnan, Kate Capshaw, Chloe Webb","Romantic comedy","remake of original Love Affair and An Affair to Remember"
"Love and a .45","C.M. Talkington","Gil Bellows, Renée Zellweger","Comedy",""
"A Low Down Dirty Shame","Keenen Ivory Wayans","Keenen Ivory Wayans, Jada Pinkett","Comedy",""
"The Lurking Fear","C. Courtney Joyner","Blake Bailey, Jon Finch","Horror",""
"Major League II","David S. Ward","Tom Berenger, Charlie Sheen, Corbin Bernsen, Omar Epps, Dennis Haysbert, Bob Uecker","Comedy","sequel to Major League"
"Mary Shelley's Frankenstein","Kenneth Branagh","Robert De Niro, Helena Bonham Carter, Kenneth Branagh, Aidan Quinn, Tom Hulce, Ian Holm","Horror","based on Mary Shelley novel"
"The Mask","Chuck Russell","Jim Carrey, Cameron Diaz, Peter Greene, Ben Stein, Richard Jeni, Peter Riegert, Amy Yasbeck","Comedy",""
"Maverick","Richard Donner","Mel Gibson, Jodie Foster, James Garner","Comedy","based on the TV series"
"Men of War","Perry Lang","Dolph Lundgren, Charlotte Lewis","Action",""
"Midnight Run for Your Life","Daniel Sackheim","Christopher McDonald, Melora Walters","Comedy","Made-for-TV"
"Midnight Runaround","","Christopher McDonald","Comedy","Made-for-TV"
"Milk Money","Richard Benjamin","Ed Harris, Melanie Griffith, Malcolm McDowell, Anne Heche, Casey Siemaszko","Comedy",""
"A Million to Juan","Paul Rodriguez, Tony Plana","Paul Rodriguez, Polly Draper","Comedy",""
"Miracle on 34th Street","Les Mayfield","Richard Attenborough, Elizabeth Perkins, Dylan McDermott, Mara Wilson","Family","remake of 1947 film"
"Mixed Nuts","Nora Ephron","Steve Martin, Madeline Kahn, Rita Wilson, Liev Schrieber, Juliette Lewis, Anthony LaPaglia, Adam Sandler","Comedy",""
"Molly & Gina","Paul Leder","Frances Fisher, Peter Fonda","Drama",""
"Monkey Trouble","Franco Amurri","Thora Birch, Harvey Keitel, Mimi Rogers, Christopher McDonald","Family",""
"The Monster","Roberto Benigni","Roberto Benigni","Comedy","Italy"
"Mrs. Parker and the Vicious Circle","Alan Rudolph","Jennifer Jason Leigh, Matthew Broderick, Campbell Scott, Lili Taylor, Martha Plimpton, Keith Carradine, Jennifer Beals","Drama, Biography","story of Dorothy Parker and Algonquin Round Table"
"Multi-Facial","Vin Diesel","Vin Diesel","Short subject",""
"My Father the Hero","Steve Miner","Gérard Depardieu, Katherine Heigl, Dalton James","Comedy",""
"My Girl 2","Howard Zieff","Anna Chlumsky, Dan Aykroyd, Jamie Lee Curtis, Austin O'Brien","Comedy","sequel to My Girl"
"My Summer Story","Bob Clark","Charles Grodin, Mary Steenburgen, Kieran Culkin","Comedy","sequel to A Christmas Story"
"Naked Gun 33⅓: The Final Insult","Peter Segal","Leslie Nielsen, Priscilla Presley, George Kennedy, O.J. Simpson, Fred Ward, Anna Nicole Smith, Kathleen Freeman, Pia Zadora, Raquel Welch","Comedy","last of Naked Gun series"
"National Lampoon's Last Resort","Rafal Zielenski","Corey Feldman, Corey Haim","Comedy",""
"Natural Born Killers","Oliver Stone","Woody Harrelson, Juliette Lewis, Robert Downey, Jr., Tommy Lee Jones, Tom Sizemore, Rodney Dangerfield, Edie McClurg, Balthazar Getty","Action",""
"Nell","Michael Apted","Liam Neeson, Jodie Foster, Natasha Richardson","Drama",""
"The NeverEnding Story III","Peter MacDonald","Jason James Richter, Jack Black","Adventure","3rd of NeverEnding series"
"The Next Karate Kid","Christopher Cain","Hilary Swank, Pat Morita, Michael Ironside","Action","4th film of Karate Kid series"
"No Dessert, Dad, till You Mow the Lawn","Howard McCain","Joanna Kerns, Robert Hays","Comedy",""
"Night Of The Axe","Walter Cherry","Walter Cherry, Danny French, Elly Davis, Jeremy Winter, Michael Gaggliano, Donald Dillard, Wesley Shane Winter, Dustin J. Boes","Horror",""
"No Escape","Martin Campbell","Ray Liotta, Kevin Dillon, Stuart Wilson, Kevin J. O'Connor","Science fiction","based on Richard Herley novel"
"Nobody's Fool","Robert Benton","Paul Newman, Bruce Willis, Melanie Griffith, Jessica Tandy, Dylan Walsh, Philip Seymour Hoffman, Pruitt Taylor Vince","Comedy","based on Richard Russo novel; Tandy's final film"
"North","Rob Reiner","Elijah Wood, Jason Alexander, Julia Louis-Dreyfus, Bruce Willis, Jon Lovitz, Alan Arkin, Dan Aykroyd, Reba McEntire, Kathy Bates, John Ritter","Comedy, Fantasy","6 Razzie nominations"
"On Deadly Ground","Steven Seagal","Steven Seagal, Michael Caine, Joan Chen","Action","6 Razzie nominations"
"One Survivor Remembers","","","",""
"Only You","Norman Jewison","Marisa Tomei, Robert Downey, Jr., Bonnie Hunt","Romantic comedy",""
"Out of Darkness","Larry Elikann","Diana Ross, Beah Richards","Drama","TV"
"PCU","Hart Bochner","Jeremy Piven, David Spade","Comedy",""
"The Pagemaster","Pixote Hunt, Joe Johnston","Macaulay Culkin, Christopher Lloyd","Fantasy",""
"The Paper","Ron Howard","Michael Keaton, Robert Duvall, Glenn Close, Marisa Tomei, Randy Quaid, Jason Alexander","Comedy",""
"Party","Eric Swelstad","Gary Coleman, Floyd Harden","","Short film"
"Pentathlon","Bruce Malmuth","Dolph Lundgren","Action thriller",""
"Pet Shop","Hope Perello","","Family",""
"Phantasm III: Lord of the Dead","Don Coscarelli","Reggie Bannister, Angus Scrimm","Horror",""
"Police Academy: Mission to Moscow","Alan Metter","George Gaynes, Michael Winslow","Comedy","7th and final film of series"
"Pontiac Moon","Peter Medak","Ted Danson, Mary Steenburgen","Adventure",""
"Prêt-à-Porter","Robert Altman","Marcello Mastroianni, Sophia Loren, Julia Roberts, Jean-Pierre Cassel, Kim Basinger, Tim Robbins, Forest Whitaker, Danny Aiello","Comedy",""
"Princess Caraboo","Michael Austin","Phoebe Cates, Jim Broadbent","Biography, Comedy",""
"Pulp Fiction","Quentin Tarantino","John Travolta, Samuel L. Jackson, Bruce Willis, Uma Thurman, Ving Rhames, Harvey Keitel, Christopher Walken, Amanda Plummer, Tim Roth, Frank Whaley, Eric Stoltz","Action, Comedy","Winner of the Palme D'Or at the Cannes Film Festival"
"Pumpkinhead II: Blood Wings","","","Horror","sequel"
"Puppet Master 5: The Final Chapter","","","Horror","sequel"
"The Puppet Masters","Stuart Orme","Donald Sutherland","Science fiction",""
"Quiz Show","Robert Redford","Ralph Fiennes, John Turturro, Rob Morrow, Paul Scofield, Christopher McDonald, Barry Levinson, Martin Scorsese","Drama, Biography","4 Oscar nominations"
"Radio Inside","Jeffrey Bell","William McNamara, Elisabeth Shue","Drama",""
"Radioland Murders","Mel Smith","Mary Stuart Masterson, Brian Benben","Comedy",""
"Rapa Nui","Kevin Reynolds","Jason Scott Lee, Esai Morales, Sandrine Holt","Adventure",""
"Raw Justice","David A. Prior","Pamela Anderson, Robert Hays","Action",""
“Ready to Wear”,””,””,””,””
"Reality Bites","Ben Stiller","Winona Ryder, Ethan Hawke, Ben Stiller, Janeane Garofalo, Steve Zahn","Comedy",""
"The Ref","Ted Demme","Denis Leary, Kevin Spacey, Judy Davis","Comedy",""
"Renaissance Man","Penny Marshall","Danny DeVito, Gregory Hines, Mark Wahlberg, Cliff Robertson, Kadeem Hardison, Lillo Brancato, Jr.","Comedy",""
"The Return of Jafar","","","Family","Animated"
"Revenge of the Nerds IV: Nerds in Love","","Robert Carradine","Comedy","Made-for-TV"
"Richie Rich","Daniel Petrie","Macaulay Culkin, John Larroquette","Comedy, Family","based on the comic book"
"The River Wild","Curtis Hanson","Meryl Streep, Kevin Bacon, David Strathairn, Joseph Mazzello, John C. Reilly","Thriller",""
"The Road to Wellville","Alan Parker","Anthony Hopkins, Matthew Broderick, John Cusack, Bridget Fonda, Dana Carvey, Lara Flynn Boyle, Camryn Manheim","Comedy, Biography","based on T.C. Boyle book"
"Roadracers","Robert Rodriguez","","Drama","TV's Rebel Highway series"
"Romeo Is Bleeding","Peter Medak","Gary Oldman, Lena Olin, Annabella Sciorra, Juliette Lewis, Roy Scheider","Crime drama",""
"Roswell","Jeremy Kagan","Kyle MacLachlan, Martin Sheen","Science fiction","TV"
"The Jungle Book","Stephen Sommers","Jason Scott Lee, Cary Elwes","Family adventure",""
"S.F.W.","Jefery Levy","Stephen Dorff, Reese Witherspoon","Comedy",""
"Sabotage","Dustin J. Boes","Walter Cherry, Wayne Quiggins, Dustin J. Boes","Action",""
"The Santa Clause","John Pasquin","Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd, David Krumholtz","Comedy",""
"Scooby-Doo in Arabian Nights","Jun Falkenstein, Joanna Romersa","","Animated",""
"The Scout","Michael Ritchie","Albert Brooks, Brendan Fraser, Dianne Wiest","Comedy",""
"The Search for One-eye Jimmy","Sam Henry Kass","Steve Buscemi, Samuel L. Jackson","Comedy",""
"The Secret of Roan Inish","John Sayles","Jeni Courtney","Drama",""
"Serial Mom","John Waters","Kathleen Turner, Sam Waterston, Ricki Lake, Matthew Lillard","Comedy",""
"The Shadow","Russell Mulcahy","Alec Baldwin, John Lone, Penelope Ann Miller","Action","based on the radio series"
"Shatter Dead","Scooter McCrae","","Horror",""
"The Shawshank Redemption","Frank Darabont","Tim Robbins, Morgan Freeman, James Whitmore, Clancy Brown, William Sadler, Gil Bellows, Bob Gunton","Drama","based on a Stephen King story; 7 Oscar nominations"
"The Silence of the Hams","Ezio Grossio","Billy Zane, Dom DeLuise","Comedy",""
"Silent Fall","Bruce Beresford","Richard Dreyfuss, Linda Hamilton, John Lithgow, Liv Tyler","Thriller",""
"Silent Tongue","Sam Shepard","Richard Harris, River Phoenix","Western",""
"A Simple Twist of Fate","Gilles MacKinnon","Steve Martin, Gabriel Byrne, Catherine O'Hara, Stephen Baldwin","Drama","based on Silas Marner"
"Sioux City","Lou Diamond Phillips","Lou Diamond Phillips, Melinda Dillon","Drama",""
"Sleep with Me","Rory Kelly","Meg Tilly, Eric Stoltz","Drama",""
"Spanking the Monkey","David O. Russell","Alberta Watson","Comedy",""
"The Specialist","Luis Llosa","Sylvester Stallone, Sharon Stone, James Woods, Rod Steiger, Eric Roberts","Thriller","5 Razzie nominations"
"Speechless","Ron Underwood","Michael Keaton, Geena Davis, Christopher Reeve","Comedy",""
"Speed","Jan De Bont","Keanu Reeves, Sandra Bullock, Dennis Hopper, Jeff Daniels, Joe Morton","Thriller","won 2 Oscars"
"Squanto: A Warrior's Tale","Xavier Koller","Adam Beach, Sheldon Peters","Adventure",""
"The Stand","Mick Garris","Gary Sinise, Molly Ringwald, Rob Lowe, Ruby Dee, Laura San Giacomo, Jamey Sheridan, Miguel Ferrer, Ossie Davis, Adam Storke, Corin Nemec, Ray Walston, Matt Frewer","Science fiction","TV miniseries; based on a novel by Stephen King"
"Star Trek Generations","David Carson","Patrick Stewart, William Shatner","Science fiction","sequel"
"Stargate","Roland Emmerich","Kurt Russell, James Spader, Jaye Davidson","Science fiction",""
"Street Fighter","Steven E. de Souza","Jean-Claude Van Damme, Raúl Juliá, Ming-Na Wen, Kylie Minogue, Damian Chapa, Byron Mann, Wes Studi","Action","Based on video game; Julia's final film"
