"Year","Drama","Musical/Comedy","Drama Actor","Musical/Comedy Actor","Drama Actress","Musical/Comedy Actress","Director"
"1983–1984","Terms of Endearment","Yentl","Tom Courtenay, The Dresser/ Robert Duvall, Tender Mercies (tie)","Michael Caine, Educating Rita","Shirley MacLaine, Terms of Endearment","Julie Walters, Educating Rita","Barbra Streisand, Yentl"
"1984–1985","Amadeus","Romancing the Stone","F. Murray Abraham, Amadeus","Dudley Moore, Micki + Maude","Sally Field, Places in the Heart","Kathleen Turner, Romancing the Stone","Miloš Forman, Amadeus"
"1985–1986","Out of Africa","Prizzi's Honor","Jon Voight, Runaway Train","Jack Nicholson, Prizzi's Honor","Whoopi Goldberg, The Color Purple","Kathleen Turner, Prizzi's Honor","John Huston, Prizzi's Honor"
"1986–1987","Platoon","Hannah and Her Sisters","Bob Hoskins, Mona Lisa","Paul Hogan, ""Crocodile"" Dundee","Marlee Matlin, Children of a Lesser God","Sissy Spacek, Crimes of the Heart","Oliver Stone, Platoon"
"1987–1988","The Last Emperor","Hope and Glory","Michael Douglas, Wall Street","Robin Williams, Good Morning, Vietnam","Sally Kirkland, Anna","Cher, Moonstruck","Bernardo Bertolucci, The Last Emperor"
"1988–1989","Rain Man","Working Girl","Dustin Hoffman, Rain Man","Tom Hanks, Big","Jodie Foster, The Accused","Melanie Griffith, Working Girl","Clint Eastwood, Bird"
"1989–1990","Born on the Fourth of July","Driving Miss Daisy","Tom Cruise, Born on the Fourth of July","Morgan Freeman, Driving Miss Daisy","Michelle Pfeiffer, The Fabulous Baker Boys","Jessica Tandy, Driving Miss Daisy","Oliver Stone, Born on the Fourth of July"
"1990–1991","Dances with Wolves","Green Card","Jeremy Irons, Reversal of Fortune","Gérard Depardieu, Green Card","Kathy Bates, Misery","Julia Roberts, Pretty Woman","Kevin Costner, Dances with Wolves"
"1991–1992","Bugsy","Beauty and the Beast","Nick Nolte, The Prince of Tides","Robin Williams, The Fisher King","Jodie Foster, The Silence of the Lambs","Bette Midler, For the Boys","Oliver Stone, JFK"
"1992–1993","Scent of a Woman","The Player","Al Pacino, Scent of a Woman","Tim Robbins, The Player","Emma Thompson, Howards End","Miranda Richardson, Enchanted April","Clint Eastwood, Unforgiven"
"1993–1994","Schindler's List","Mrs. Doubtfire","Tom Hanks, Philadelphia","Robin Williams, Mrs. Doubtfire","Holly Hunter, The Piano","Angela Bassett, What's Love Got to Do with It","Steven Spielberg, Schindler's List"
"1994–1995","Forrest Gump","The Lion King","Tom Hanks, Forrest Gump","Hugh Grant, Four Weddings and a Funeral","Jessica Lange, Blue Sky","Jamie Lee Curtis, True Lies","Robert Zemeckis, Forrest Gump"
"1995–1996","Sense and Sensibility","Babe","Nicolas Cage, Leaving Las Vegas","John Travolta, Get Shorty","Sharon Stone, Casino","Nicole Kidman, To Die For","Mel Gibson, Braveheart"
"1996–1997","The English Patient","Evita","Geoffrey Rush, Shine","Tom Cruise, Jerry Maguire","Brenda Blethyn, Secrets & Lies","Madonna, Evita","Miloš Forman, The People vs. Larry Flynt"
"1997–1998","Titanic","As Good as It Gets","Peter Fonda, Ulee's Gold","Jack Nicholson, As Good as It Gets","Judi Dench, Mrs. Brown","Helen Hunt, As Good as It Gets","James Cameron, Titanic"
"1998–1999","Saving Private Ryan","Shakespeare in Love","Jim Carrey, The Truman Show","Michael Caine, Little Voice","Cate Blanchett, Elizabeth","Gwyneth Paltrow, Shakespeare in Love","Steven Spielberg, Saving Private Ryan"
"1999–2000","American Beauty","Toy Story 2","Denzel Washington, The Hurricane","Jim Carrey, Man on the Moon","Hilary Swank, Boys Don't Cry","Janet McTeer, Tumbleweeds","Sam Mendes, American Beauty"
"2000–2001","Gladiator","Almost Famous","Tom Hanks, Cast Away","George Clooney, O Brother, Where Art Thou?","Julia Roberts, Erin Brockovich","Renée Zellweger, Nurse Betty","Ang Lee, Crouching Tiger, Hidden Dragon"
"2001–2002","A Beautiful Mind","Moulin Rouge!","Russell Crowe, A Beautiful Mind","Gene Hackman, The Royal Tenenbaums","Sissy Spacek, In the Bedroom","Nicole Kidman, Moulin Rouge!","Robert Altman, Gosford Park"
"2002–2003","The Hours","Chicago","Jack Nicholson, About Schmidt","Richard Gere, Chicago","Nicole Kidman, The Hours","Renée Zellweger, Chicago","Martin Scorsese, Gangs of New York"
"2003–2004","The Lord of the Rings: The Return of the King","Lost in Translation","Sean Penn, Mystic River","Bill Murray, Lost in Translation","Charlize Theron, Monster","Diane Keaton, Something's Gotta Give","Peter Jackson, The Lord of the Rings: The Return of the King"
"2004–2005","The Aviator","Sideways","Leonardo DiCaprio, The Aviator","Jamie Foxx, Ray","Hilary Swank, Million Dollar Baby","Annette Bening, Being Julia","Clint Eastwood, Million Dollar Baby"
"2005–2006","Brokeback Mountain","Walk the Line","Philip Seymour Hoffman, Capote","Joaquin Phoenix, Walk the Line","Felicity Huffman, Transamerica","Reese Witherspoon, Walk the Line","Ang Lee, Brokeback Mountain"
"2006–2007","Babel","Dreamgirls","Forest Whitaker, The Last King of Scotland","Sacha Baron Cohen, Borat","Helen Mirren, The Queen","Meryl Streep, The Devil Wears Prada","Martin Scorsese, The Departed"
"2007–2008","Atonement","Sweeney Todd: The Demon Barber of Fleet Street","Daniel Day-Lewis, There Will Be Blood","Johnny Depp, Sweeney Todd: The Demon Barber of Fleet Street","Julie Christie, Away from Her","Marion Cotillard, La Vie en Rose","Julian Schnabel, The Diving Bell and the Butterfly"
"2008–2009","Slumdog Millionaire","Vicky Cristina Barcelona","Mickey Rourke, The Wrestler","Colin Farrell, In Bruges","Kate Winslet, Revolutionary Road","Sally Hawkins, Happy-Go-Lucky","Danny Boyle, Slumdog Millionaire"
"2009–2010","Avatar","The Hangover","Jeff Bridges, Crazy Heart","Robert Downey, Jr., Sherlock Holmes","Sandra Bullock, The Blind Side","Meryl Streep, Julie & Julia","James Cameron, Avatar"
"2010–2011","The Social Network","The Kids Are All Right","Colin Firth, The King's Speech","Paul Giamatti, Barney's Version","Natalie Portman, Black Swan","Annette Bening, The Kids Are All Right","David Fincher, The Social Network"
"2011–2012","The Descendants","The Artist","George Clooney, The Descendants","Jean Dujardin, The Artist","Meryl Streep, The Iron Lady","Michelle Williams, My Week with Marilyn","Martin Scorsese, Hugo"
"2012–2013","Argo","Les Misérables","Daniel Day-Lewis, Lincoln","Hugh Jackman, Les Misérables","Jessica Chastain, Zero Dark Thirty","Jennifer Lawrence, Silver Linings Playbook","Ben Affleck, Argo"
"2013–2014","12 Years a Slave","American Hustle","Matthew McConaughey, Dallas Buyers Club","Leonardo DiCaprio, The Wolf of Wall Street","Cate Blanchett, Blue Jasmine","Amy Adams, American Hustle","Alfonso Cuarón, Gravity"
"2014–2015","Boyhood","The Grand Budapest Hotel","Eddie Redmayne, The Theory of Everything","Michael Keaton, Birdman","Julianne Moore, Still Alice","Amy Adams, Big Eyes","Richard Linklater, Boyhood"
"2015–2016","The Revenant","The Martian","Leonardo DiCaprio, The Revenant","Matt Damon, The Martian","Brie Larson, Room","Jennifer Lawrence, Joy","Alejandro Iñárritu, The Revenant"
